name,description,alias,type,has_cli,has_native_addon,has_wasm,related
array/base/accessor-getter,Return an accessor function for retrieving an element from an array-like object supporting the get/set protocol.,,,false,false,false,
array/base/accessor-setter,Return an accessor function for setting an element in an array-like object supporting the get/set protocol.,,,false,false,false,
array/base/accessor,Create a minimal array-like object supporting the accessor protocol from another array-like object.,,,false,false,false,
array/base/accessors,Return element accessors for a provided array-like object.,,,false,false,false,
array/base/any-by-right,"Test whether at least one element in an array passes a test implemented by a predicate function, while iterating from right to left.",,,false,false,false,
array/base/any-by,Test whether at least one element in an array passes a test implemented by a predicate function.,,,false,false,false,
array/base/any-has-own-property,Test whether at least one element in a provided array has a specified own property.,,,false,false,false,
array/base/any-has-property,"Test whether at least one element in a provided array has a specified property, either own or inherited.",,,false,false,false,
array/base/any-is-entry-in,"Test whether at least one element in a provided array has a specified property key-value pair, either own or inherited.",,,false,false,false,
array/base/any-is-entry,Test whether at least one element in a provided array has a specified own property key-value pair.,,,false,false,false,
array/base/any,Test whether at least one element in an array is truthy.,,,false,false,false,
array/base/arraylike2object,"Convert an array-like object to an object likely to have the same ""shape"".",,,false,false,false,
array/base/assert/contains,Test if an array contains a provided search value.,,,false,false,false,
array/base/assert/has-almost-equal-values,Test if two arrays have respective elements which are approximately equal within a specified number of ULPs (units in the last place).,,,false,false,false,
array/base/assert/has-almost-same-values,Test if two arrays have respective elements which are approximately the same value within a specified number of ULPs (units in the last place).,,,false,false,false,
array/base/assert/has-equal-values-indexed,Test if two indexed arrays have equal values.,,,false,false,false,
array/base/assert/has-equal-values,Test if two arrays have equal values.,,,false,false,false,
array/base/assert/has-same-values,Test if two arrays have the same values.,,,false,false,false,
array/base/assert/is-accessor-array,Test if an array-like object supports the accessor (get/set) protocol.,,,false,false,false,
array/base/assert/is-boolean-data-type,Test if an input value is a supported array boolean data type.,,,false,false,false,
array/base/assert/is-booleanarray,Test if a value is a BooleanArray.,,,false,false,false,
array/base/assert/is-byte-order,Test if an input value is a supported array byte order.,,,false,false,false,
array/base/assert/is-complex-floating-point-data-type,Test if an input value is a supported array complex-valued floating-point data type.,,,false,false,false,
array/base/assert/is-complex-typed-array,Test if a value is a complex typed array.,,,false,false,false,
array/base/assert/is-complex128array,Test if a value is a Complex128Array.,,,false,false,false,
array/base/assert/is-complex64array,Test if a value is a Complex64Array.,,,false,false,false,
array/base/assert/is-data-type,Test if an input value is a supported array data type.,,,false,false,false,
array/base/assert/is-floating-point-data-type,Test if an input value is a supported array floating-point data type.,,,false,false,false,
array/base/assert/is-integer-data-type,Test if an input value is a supported array integer data type.,,,false,false,false,
array/base/assert/is-mostly-safe-data-type-cast,"Determine if an array data type can be safely cast or, for floating-point data types, downcast to another array data type.",,,false,false,false,
array/base/assert/is-numeric-data-type,Test if an input value is a supported array numeric data type.,,,false,false,false,
array/base/assert/is-real-data-type,Test if an input value is a supported array real-valued data type.,,,false,false,false,
array/base/assert/is-real-floating-point-data-type,Test if an input value is a supported array real-valued floating-point data type.,,,false,false,false,
array/base/assert/is-safe-data-type-cast,Determine if an array data type can be safely cast to another array data type.,,,false,false,false,
array/base/assert/is-same-kind-data-type-cast,"Determine if an array data type can be safely cast to, or is of the same kind as, another array data type.",,,false,false,false,
array/base/assert/is-signed-integer-data-type,Test if an input value is a supported array signed integer data type.,,,false,false,false,
array/base/assert/is-sorted-ascending,Test if an array is sorted in ascending order.,,,false,false,false,
array/base/assert/is-unsigned-integer-data-type,Test if an input value is a supported array unsigned integer data type.,,,false,false,false,
array/base/assert,Base array assertion utilities.,,,false,false,false,
array/base/at,Return an element from an array.,,,false,false,false,
array/base/at2d,Return an element from a two-dimensional nested array.,,,false,false,false,
array/base/at3d,Return an element from a three-dimensional nested array.,,,false,false,false,
array/base/at4d,Return an element from a four-dimensional nested array.,,,false,false,false,
array/base/at5d,Return an element from a five-dimensional nested array.,,,false,false,false,
array/base/atnd,Return an element from an n-dimensional nested array.,,,false,false,false,
array/base/banded/filled2d-by,Create a filled two-dimensional banded nested array according to a provided callback function.,,,false,false,false,
array/base/banded,Banded array utilities.,,,false,false,false,
array/base/banded/to-compact,Convert a two-dimensional banded nested array to compact banded storage.,,,false,false,false,
array/base/bifurcate-entries-by,Split element entries into two groups according to a predicate function.,,,false,false,false,
array/base/bifurcate-entries,Split array element entries into two groups.,,,false,false,false,
array/base/bifurcate-indices-by,Split element indices into two groups according to a predicate function.,,,false,false,false,
array/base/bifurcate-indices,Split array element indices into two groups.,,,false,false,false,
array/base/bifurcate-values-by,Split element values into two groups according to a predicate function.,,,false,false,false,
array/base/bifurcate-values,Split array element values into two groups.,,,false,false,false,
array/base/binary2d,Apply a binary callback to elements in two two-dimensional nested input arrays and assign results to elements in a two-dimensional nested output array.,,,false,false,false,
array/base/binary3d,Apply a binary callback to elements in two three-dimensional nested input arrays and assign results to elements in a three-dimensional nested output array.,,,false,false,false,
array/base/binary4d,Apply a binary callback to elements in two four-dimensional nested input arrays and assign results to elements in a four-dimensional nested output array.,,,false,false,false,
array/base/binary5d,Apply a binary callback to elements in two five-dimensional nested input arrays and assign results to elements in a five-dimensional nested output array.,,,false,false,false,
array/base/binarynd,Apply a binary callback to elements in two n-dimensional nested input arrays and assign results to elements in an n-dimensional nested output array.,,,false,false,false,
array/base/broadcast-array,Broadcast an array to a specified shape.,,,false,false,false,
array/base/broadcasted-binary2d,Apply a binary callback to elements in two broadcasted input arrays and assign results to elements in a two-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-binary3d,Apply a binary callback to elements in two broadcasted input arrays and assign results to elements in a three-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-binary4d,Apply a binary callback to elements in two broadcasted input arrays and assign results to elements in a four-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-binary5d,Apply a binary callback to elements in two broadcasted input arrays and assign results to elements in a five-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-quaternary2d,Apply a quaternary callback to elements in four broadcasted input arrays and assign results to elements in a two-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-quaternary3d,Apply a quaternary callback to elements in four broadcasted input arrays and assign results to elements in a three-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-quaternary4d,Apply a quaternary callback to elements in four broadcasted input arrays and assign results to elements in a four-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-quaternary5d,Apply a quaternary callback to elements in four broadcasted input arrays and assign results to elements in a five-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-quinary2d,Apply a quinary callback to elements in five broadcasted input arrays and assign results to elements in a two-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-quinary4d,Apply a quinary callback to elements in five broadcasted input arrays and assign results to elements in a four-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-ternary2d,Apply a ternary callback to elements in three broadcasted input arrays and assign results to elements in a two-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-ternary3d,Apply a ternary callback to elements in three broadcasted input arrays and assign results to elements in a three-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-ternary4d,Apply a ternary callback to elements in three broadcasted input arrays and assign results to elements in a four-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-ternary5d,Apply a ternary callback to elements in three broadcasted input arrays and assign results to elements in a five-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-unary2d,Apply a unary callback to elements in a broadcasted nested input array and assign results to elements in a two-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-unary3d,Apply a unary callback to elements in a broadcasted nested input array and assign results to elements in a three-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-unary4d,Apply a unary callback to elements in a broadcasted nested input array and assign results to elements in a four-dimensional nested output array.,,,false,false,false,
array/base/broadcasted-unary5d,Apply a unary callback to elements in a broadcasted nested input array and assign results to elements in a five-dimensional nested output array.,,,false,false,false,
array/base/cartesian-power,Return the Cartesian power.,base.acartesianPower,Function,false,false,false,array/cartesian-power;array/base/cartesian-product;array/base/cartesian-square
array/base/cartesian-product,Return the Cartesian product.,base.acartesianProduct,Function,false,false,false,array/cartesian-product;array/base/cartesian-power;array/base/cartesian-square
array/base/cartesian-square,Return the Cartesian square.,base.acartesianSquare,Function,false,false,false,array/cartesian-square;array/base/cartesian-power;array/base/cartesian-product
array/base/copy-indexed,Copy the elements of an indexed array-like object to a new generic array.,,,false,false,false,
array/base/copy,Copy the elements of an array-like object to a new generic array.,,,false,false,false,
array/base/count-falsy,Count the number of falsy elements in an array.,,,false,false,false,
array/base/count-if,Count the number of elements in an array which pass a test implemented by a predicate function.,,,false,false,false,
array/base/count-ifs,Perform element-wise evaluation of one or more input arrays according to provided predicate functions and count the number of elements for which all predicates respectively return `true`.,,,false,false,false,
array/base/count-same-value-zero,Count the number of elements in an array that are equal to a specified value.,,,false,false,false,
array/base/count-same-value,Count the number of elements in an array that are equal to a specified value.,,,false,false,false,
array/base/count-truthy,Count the number of truthy elements in an array.,,,false,false,false,
array/base/cuany-by-right,"Cumulatively test whether at least one array element in a provided array passes a test implemented by a predicate function, while iterating from right-to-left.",,,false,false,false,
array/base/cuany-by,Cumulatively test whether at least one element in a provided array passes a test implemented by a predicate function.,,,false,false,false,
array/base/cuany,Cumulatively test whether at least one element in a provided array is truthy.,,,false,false,false,
array/base/cuevery-by-right,"Cumulatively test whether every array element in a provided array passes a test implemented by a predicate function, while iterating from right-to-left.",,,false,false,false,
array/base/cuevery-by,Cumulatively test whether every array element in a provided array passes a test implemented by a predicate function.,,,false,false,false,
array/base/cuevery,Cumulatively test whether every element in a provided array is truthy.,,,false,false,false,
array/base/cunone-by-right,"Cumulatively test whether every array element in a provided array fails a test implemented by a predicate function, while iterating from right-to-left.",,,false,false,false,
array/base/cunone-by,Cumulatively test whether every element in a provided array fails a test implemented by a predicate function.,,,false,false,false,
array/base/cunone,Cumulatively test whether every element in a provided array is falsy.,,,false,false,false,
array/base/cusome-by-right,"Cumulatively test whether at least `n` elements in a provided array pass a test implemented by a predicate function, while iterating from right-to-left.",,,false,false,false,
array/base/cusome-by,Cumulatively test whether at least `n` array elements in a provided array pass a test implemented by a predicate function.,,,false,false,false,
array/base/cusome,Cumulatively test whether at least `n` array elements in a provided array are truthy.,,,false,false,false,
array/base/dedupe,Remove consecutive duplicated values.,,,false,false,false,
array/base/entries2objects,Convert array entries to an array of objects.,,,false,false,false,
array/base/entries2views,Convert array entries to an array of composite views.,,,false,false,false,
array/base/every-by-right,"Test whether all elements in an array pass a test implemented by a predicate function, iterating from right to left.",,,false,false,false,
array/base/every-by,Test whether all elements in an array pass a test implemented by a predicate function.,,,false,false,false,
array/base/every,Test whether all elements in an array are truthy.,,,false,false,false,
array/base/falses,Create a generic array filled with false values.,,,false,false,false,
array/base/fancy-slice-assign,Assign element values from a broadcasted input array to corresponding elements in an output array.,,,false,false,false,
array/base/fancy-slice,Return a shallow copy of a portion of an array.,,,false,false,false,
array/base/fill-by,Fill all elements within a portion of an array according to a callback function.,,,false,false,false,
array/base/fill,Fill all elements within a portion of an array with a specified value.,,,false,false,false,
array/base/filled-by,Create a filled generic array according to a provided callback function.,base.afilledBy,Function,false,false,false,array/base/filled
array/base/filled,Create a filled generic array.,base.afilled,Function,false,false,false,
array/base/filled2d-by,Create a filled two-dimensional nested array according to a provided callback function.,base.afilled2dBy,Function,false,false,false,array/base/filled2d
array/base/filled2d,Create a filled two-dimensional nested array.,base.afilled2d,Function,false,false,false,
array/base/filled3d-by,Create a filled three-dimensional nested array according to a provided callback function.,base.afilled3dBy,Function,false,false,false,array/base/filled3d
array/base/filled3d,Create a filled three-dimensional nested array.,base.afilled3d,Function,false,false,false,
array/base/filled4d-by,Create a filled four-dimensional nested array according to a provided callback function.,base.afilled4dBy,Function,false,false,false,array/base/filled4d
array/base/filled4d,Create a filled four-dimensional nested array.,base.afilled4d,Function,false,false,false,
array/base/filled5d-by,Create a filled five-dimensional nested array according to a provided callback function.,base.afilled5dBy,Function,false,false,false,array/base/filled5d
array/base/filled5d,Create a filled five-dimensional nested array.,base.afilled5d,Function,false,false,false,
array/base/fillednd-by,Create a filled n-dimensional nested array according to a provided callback function.,base.afilledndBy,Function,false,false,false,array/base/fillednd
array/base/fillednd,Create a filled n-dimensional nested array.,base.afillednd,Function,false,false,false,
array/base/filter,Return a shallow copy of an array containing only those elements which pass a test implemented by a predicate function.,base.afilter,Function,false,false,false,
array/base/first,Return the first element of an array-like object.,base.afirst,Function,false,false,false,
array/base/flatten-by,Flatten an n-dimensional nested array according to a callback function.,base.aflattenBy,Function,false,false,false,array/base/flatten
array/base/flatten,Flatten an n-dimensional nested array.,base.aflatten,Function,false,false,false,array/base/flatten-by
array/base/flatten2d-by,Flatten a two-dimensional nested array according to a callback function.,base.aflatten2dBy,Function,false,false,false,array/base/flatten2d
array/base/flatten2d,Flatten a two-dimensional nested array.,base.aflatten2d,Function,false,false,false,array/base/flatten2d-by
array/base/flatten3d-by,Flatten a three-dimensional nested array according to a callback function.,base.aflatten3dBy,Function,false,false,false,array/base/flatten3d
array/base/flatten3d,Flatten a three-dimensional nested array.,base.aflatten3d,Function,false,false,false,array/base/flatten3d-by
array/base/flatten4d-by,Flatten a four-dimensional nested array according to a callback function.,base.aflatten4dBy,Function,false,false,false,array/base/flatten4d
array/base/flatten4d,Flatten a four-dimensional nested array.,base.aflatten4d,Function,false,false,false,array/base/flatten4d-by
array/base/flatten5d-by,Flatten a five-dimensional nested array according to a callback function.,base.aflatten5dBy,Function,false,false,false,array/base/flatten5d
array/base/flatten5d,Flatten a five-dimensional nested array.,base.aflatten5d,Function,false,false,false,array/base/flatten5d-by
array/base/fliplr2d,Reverse the order of elements along the last dimension of a two-dimensional nested input array.,base.afliplr2d,Function,false,false,false,array/base/fliplr3d;array/base/fliplr4d;array/base/fliplr5d
array/base/fliplr3d,Reverse the order of elements along the last dimension of a three-dimensional nested input array.,base.afliplr3d,Function,false,false,false,array/base/fliplr2d;array/base/fliplr4d;array/base/fliplr5d
array/base/fliplr4d,Reverse the order of elements along the last dimension of a four-dimensional nested input array.,base.afliplr4d,Function,false,false,false,array/base/fliplr2d;array/base/fliplr3d;array/base/fliplr5d
array/base/fliplr5d,Reverse the order of elements along the last dimension of a five-dimensional nested input array.,base.afliplr5d,Function,false,false,false,array/base/fliplr2d;array/base/fliplr3d;array/base/fliplr4d
array/base/flipud2d,Reverse the order of elements along the first dimension of a two-dimensional nested input array.,base.aflipud2d,Function,false,false,false,array/base/flipud3d;array/base/flipud4d;array/base/flipud5d
array/base/flipud3d,Reverse the order of elements along the second-to-last dimension of a three-dimensional nested input array.,base.aflipud3d,Function,false,false,false,array/base/flipud2d;array/base/flipud4d;array/base/flipud5d
array/base/flipud4d,Reverse the order of elements along the second-to-last dimension of a four-dimensional nested input array.,base.aflipud4d,Function,false,false,false,array/base/flipud2d;array/base/flipud3d;array/base/flipud5d
array/base/flipud5d,Reverse the order of elements along the second-to-last dimension of a five-dimensional nested input array.,base.aflipud5d,Function,false,false,false,array/base/flipud2d;array/base/flipud3d;array/base/flipud4d
array/base/for-each,Invoke a callback function once for each array element.,,,false,false,false,
array/base/from-strided,Convert a strided array to a non-strided generic array.,,,false,false,false,
array/base/getter,Return an accessor function for retrieving an element from an indexed array-like object.,,,false,false,false,
array/base/group-entries-by,Group element entries according to an indicator function.,,,false,false,false,
array/base/group-entries,Group element entries as arrays associated with distinct keys.,,,false,false,false,
array/base/group-indices-by,Group element indices according to an indicator function.,,,false,false,false,
array/base/group-indices,Group element indices as arrays associated with distinct keys.,,,false,false,false,
array/base/group-values-by,Group element values according to an indicator function.,,,false,false,false,
array/base/group-values-on-key,Group the elements of an array according to a specified property name.,,,false,false,false,
array/base/group-values,Group elements as arrays associated with distinct keys.,,,false,false,false,
array/base/incrspace,Generate a linearly spaced numeric array according to a provided increment.,,,false,false,false,
array/base/index-of-same-value,Return the index of the first element which equals a provided search element according to the same value algorithm.,,,false,false,false,
array/base/index-of,Return the index of the first element which equals a provided search element.,,,false,false,false,
array/base/indices-complement,Return the complement of a list of array indices.,,,false,false,false,
array/base/insert-at,Insert an element into an array.,,,false,false,false,
array/base/join,Return a string created by joining array elements using a specified separator.,,,false,false,false,
array/base/last-index-of-same-value,Return the index of the last element which equals a provided search element according to the same value algorithm.,,,false,false,false,
array/base/last-index-of,Return the index of the last element which equals a provided search element.,,,false,false,false,
array/base/last,Return the last element of an array-like object.,,,false,false,false,
array/base/linspace,Generate a linearly spaced numeric array.,,,false,false,false,
array/base/linspace2d,Generate a linearly spaced two-dimensional nested numeric array.,,,false,false,false,
array/base/logspace,Generate a logarithmically spaced numeric array.,,,false,false,false,
array/base/map,Apply a callback function to elements in an input array and assign results to elements in a new output array.,,,false,false,false,
array/base/map2d,Apply a function to elements in a two-dimensional nested input array and assign results to elements in a new two-dimensional nested output array.,,,false,false,false,
array/base/map3d,Apply a function to elements in a three-dimensional nested input array and assign results to elements in a new three-dimensional nested output array.,,,false,false,false,
array/base/map4d,Apply a function to elements in a four-dimensional nested input array and assign results to elements in a new four-dimensional nested output array.,,,false,false,false,
array/base/map5d,Apply a function to elements in a five-dimensional nested input array and assign results to elements in a new five-dimensional nested output array.,,,false,false,false,
array/base/min-signed-integer-dtype,Determine the minimum array data type for storing a provided signed integer value.,,,false,false,false,
array/base/min-unsigned-integer-dtype,Determine the minimum array data type for storing a provided unsigned integer value.,,,false,false,false,
array/base/mskbinary2d,Apply a binary callback to elements in two two-dimensional nested input arrays according to elements in a two-dimensional nested mask array and assign results to elements in a two-dimensional nested output array.,,,false,false,false,
array/base/mskbinary3d,Apply a binary callback to elements in two three-dimensional nested input arrays according to elements in a three-dimensional nested mask array and assign results to elements in a three-dimensional nested output array.,,,false,false,false,
array/base/mskbinary4d,Apply a binary callback to elements in two four-dimensional nested input arrays according to elements in a four-dimensional nested mask array and assign results to elements in a four-dimensional nested output array.,,,false,false,false,
array/base/mskbinary5d,Apply a binary callback to elements in two five-dimensional nested input arrays according to elements in a five-dimensional nested mask array and assign results to elements in a five-dimensional nested output array.,,,false,false,false,
array/base/mskfilter-map,Apply a mask and a callback function to a provided input array.,,,false,false,false,
array/base/mskfilter,Apply a mask to a provided input array.,,,false,false,false,
array/base/mskfilter2,Apply a mask to two provided input arrays in a single pass.,,,false,false,false,
array/base/mskfiltern,Apply a mask to one or more provided input arrays in a single pass.,,,false,false,false,
array/base/mskput,Replace elements of an array with provided values according to a provided mask array.,,,false,false,false,
array/base/mskreject-map,Apply a mask to a provided input array and map the unmasked values according to a callback function.,,,false,false,false,
array/base/mskreject,Apply a mask to a provided input array.,,,false,false,false,
array/base/mskunary2d,Apply a unary callback to elements in a two-dimensional nested input array according to elements in a two-dimensional nested mask array and assign results to elements in a two-dimensional nested output array.,,,false,false,false,
array/base/mskunary3d,Apply a unary callback to elements in a three-dimensional nested input array according to elements in a three-dimensional nested mask array and assign results to elements in a three-dimensional nested output array.,,,false,false,false,
array/base/mskunary4d,Apply a unary callback to elements in a four-dimensional nested input array according to elements in a four-dimensional nested mask array and assign results to elements in a four-dimensional nested output array.,,,false,false,false,
array/base/mskunary5d,Apply a unary callback to elements in a five-dimensional nested input array according to elements in a five-dimensional nested mask array and assign results to elements in a five-dimensional nested output array.,,,false,false,false,
array/base/n-cartesian-product,Return the n-fold Cartesian product.,,,false,false,false,
array/base/nested2objects,Convert nested arrays to objects.,,,false,false,false,
array/base/nested2views,Convert nested arrays to composite views.,,,false,false,false,
array/base/none-by-right,"Test whether all elements in an array fail a test implemented by a predicate function, iterating from right to left.",,,false,false,false,
array/base/none-by,Test whether all elements in an array fail a test implemented by a predicate function.,,,false,false,false,
array/base/none,Test whether all elements in an array are falsy.,,,false,false,false,
array/base/nulls,Create a generic array filled with null values.,,,false,false,false,
array/base/one-to,Generate a linearly spaced numeric array whose elements increment by 1 starting from one.,base.aoneTo,Function,false,false,false,array/base/zero-to;array/base/ones
array/base/ones,Create a generic array filled with ones.,base.aones,Function,false,false,false,array/base/zeros;array/base/ones2d;array/base/ones3d;array/base/ones4d;array/base/ones5d;array/base/onesnd
array/base/ones2d,Create a two-dimensional nested array filled with ones.,base.aones2d,Function,false,false,false,array/base/zeros2d;array/base/ones;array/base/ones3d;array/base/ones4d;array/base/ones5d;array/base/onesnd
array/base/ones3d,Create a three-dimensional nested array filled with ones.,base.aones3d,Function,false,false,false,array/base/zeros3d;array/base/ones;array/base/ones2d;array/base/ones4d;array/base/ones5d;array/base/onesnd
array/base/ones4d,Create a four-dimensional nested array filled with ones.,base.aones4d,Function,false,false,false,array/base/zeros4d;array/base/ones;array/base/ones2d;array/base/ones3d;array/base/ones5d;array/base/onesnd
array/base/ones5d,Create a five-dimensional nested array filled with ones.,base.aones5d,Function,false,false,false,array/base/zeros5d;array/base/ones;array/base/ones2d;array/base/ones3d;array/base/ones4d;array/base/onesnd
array/base/onesnd,Create an n-dimensional nested array filled with ones.,base.aonesnd,Function,false,false,false,array/base/zerosnd;array/base/ones;array/base/ones2d;array/base/ones3d;array/base/ones4d;array/base/ones5d
array/base,"Base (i.e., lower-level) array utilities.",,,false,false,false,
array/base/place,Replace elements of an array with provided values according to a provided mask array.,,,false,false,false,
array/base/put,Replace specified elements of an array with provided values.,,,false,false,false,
array/base/quaternary2d,Apply a quaternary callback to elements in four two-dimensional nested input arrays and assign results to elements in a two-dimensional nested output array.,,,false,false,false,
array/base/quaternary3d,Apply a quaternary callback to elements in four three-dimensional nested input arrays and assign results to elements in a three-dimensional nested output array.,,,false,false,false,
array/base/quaternary4d,Apply a quaternary callback to elements in four four-dimensional nested input arrays and assign results to elements in a four-dimensional nested output array.,,,false,false,false,
array/base/quaternary5d,Apply a quaternary callback to elements in four five-dimensional nested input arrays and assign results to elements in a five-dimensional nested output array.,,,false,false,false,
array/base/quinary2d,Apply a quinary callback to elements in five two-dimensional nested input arrays and assign results to elements in a two-dimensional nested output array.,,,false,false,false,
array/base/quinary3d,Apply a quinary callback to elements in five three-dimensional nested input arrays and assign results to elements in a three-dimensional nested output array.,,,false,false,false,
array/base/quinary4d,Apply a quinary callback to elements in five four-dimensional nested input arrays and assign results to elements in a four-dimensional nested output array.,,,false,false,false,
array/base/quinary5d,Apply a quinary callback to elements in five five-dimensional nested input arrays and assign results to elements in a five-dimensional nested output array.,,,false,false,false,
array/base/reject,Return a shallow copy of an array containing only those elements which fail a test implemented by a predicate function.,,,false,false,false,
array/base/rekey-views,Create an array containing views with renamed keys for every element in a provided array.,,,false,false,false,
array/base/rekey,Copy and rename specified keys for every element in a provided array.,,,false,false,false,
array/base/remove-at,Remove an element from an array.,,,false,false,false,
array/base/reshape,Reshape a nested array into another nested array having a desired shape.,,,false,false,false,
array/base/resolve-getter,Return an accessor function for retrieving an element from an array-like object.,,,false,false,false,
array/base/resolve-setter,Return an accessor function for setting an element in an array-like object.,,,false,false,false,
array/base/reverse,Reverse an array in-place.,,,false,false,false,
array/base/scatter-filled,"Scatter a list of provided values to specified indices in a new filled ""generic"" array.",,,false,false,false,
array/base/scattered,"Scatter a list of provided values to specified indices in a new zero-filled ""generic"" array.",,,false,false,false,
array/base/setter,Return an accessor function for setting an element in an indexed array-like object.,,,false,false,false,
array/base/slice,Return a shallow copy of a portion of an array.,,,false,false,false,
array/base/strided2array2d,Convert a strided array to a two-dimensional nested array.,,,false,false,false,
array/base/strided2array3d,Convert a strided array to a three-dimensional nested array.,,,false,false,false,
array/base/strided2array4d,Convert a strided array to a four-dimensional nested array.,,,false,false,false,
array/base/strided2array5d,Convert a strided array to a five-dimensional nested array.,,,false,false,false,
array/base/symmetric-banded/filled2d-by,Create a filled two-dimensional symmetric banded nested array according to a provided callback function.,,,false,false,false,
array/base/symmetric-banded,Symmetric banded array utilities.,,,false,false,false,
array/base/symmetric-banded/to-compact,Convert a two-dimensional symmetric banded nested array to compact banded storage.,,,false,false,false,
array/base/symmetric/filled2d-by,Create a filled two-dimensional symmetric nested array according to a provided callback function.,,,false,false,false,
array/base/symmetric,Symmetric array utilities.,,,false,false,false,
array/base/take-indexed,Take elements from an indexed array.,,,false,false,false,
array/base/take-indexed2,Take elements from two indexed arrays in a single pass.,,,false,false,false,
array/base/take-map,Take elements from an array and return a new array after applying a mapping function.,,,false,false,false,
array/base/take,Take elements from an array.,,,false,false,false,
array/base/take2d,Take elements from a two-dimensional nested array.,,,false,false,false,
array/base/take3d,Take elements from a three-dimensional nested array.,,,false,false,false,
array/base/ternary2d,Apply a ternary callback to elements in three two-dimensional nested input arrays and assign results to elements in a two-dimensional nested output array.,,,false,false,false,
array/base/ternary3d,Apply a ternary callback to elements in three three-dimensional nested input arrays and assign results to elements in a three-dimensional nested output array.,,,false,false,false,
